DATETIME,ERRORLEVEL,TAG,VALUE,LINE,FILE
"2022-01-14 15:17:44",ERROR,DV,"No existe la imagen (ID: 93996)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:17:44",INFO,DB,"Insertado en la base de datos (ID: 93996 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:01",ERROR,DV,"No existe la imagen (ID: 93995)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:01",INFO,DB,"Insertado en la base de datos (ID: 93995 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:43",ERROR,DV,"No existe la imagen (ID: 93994)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:43",INFO,DB,"Insertado en la base de datos (ID: 93994 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DV,"Creado (ID: 93993): https://drive.google.com/open?id=1rTRNHAjRfOpAUhbg7SIzjK20bzNf4fmH",41,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93993 - 1rTRNHAjRfOpAUhbg7SIzjK20bzNf4fmH)",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",ERROR,DV,"No existe la imagen (ID: 93992)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93992 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",ERROR,DV,"No existe la imagen (ID: 93991)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93991 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",ERROR,DV,"No existe la imagen (ID: 93990)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93990 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",ERROR,DV,"No existe la imagen (ID: 93989)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93989 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",ERROR,DV,"No existe la imagen (ID: 93988)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93988 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",ERROR,DV,"No existe la imagen (ID: 93986)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93986 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",ERROR,DV,"No existe la imagen (ID: 93987)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93987 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",ERROR,DV,"No existe la imagen (ID: 93985)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93985 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",ERROR,DV,"No existe la imagen (ID: 93984)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93984 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",ERROR,DV,"No existe la imagen (ID: 93983)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93983 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",ERROR,DV,"No existe la imagen (ID: 93982)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93982 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",ERROR,DV,"No existe la imagen (ID: 93981)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93981 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",ERROR,DV,"No existe la imagen (ID: 93980)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93980 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",ERROR,DV,"No existe la imagen (ID: 93979)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93979 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",ERROR,DV,"No existe la imagen (ID: 93978)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93978 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",ERROR,DV,"No existe la imagen (ID: 93977)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93977 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",ERROR,DV,"No existe la imagen (ID: 93976)",32,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
"2022-01-14 15:20:48",INFO,DB,"Insertado en la base de datos (ID: 93976 - )",51,/home/u713516042/domains/transmillas.com/public_html/pruebas/drive/backup-mensajes.php
